HSE	CD2	-0.05	2.132100	CPH1
HSE	HD2	0.09	1.824336	HR3
HSE	C	0.51	2.317500	C
HSE	O	-0.51	2.039400	O
HSP	N	-0.47	2.178450	NH1
HSP	HN	0.31	0.671612	H
HSP	CA	0.07	2.317500	CT1
HSP	HA	0.09	1.687140	HB1
HSP	CB	-0.05	2.326770	CT2A
HSP	HB1	0.09	1.705680	HA2
HSP	HB2	0.09	1.705680	HA2
HSP	CD2	0.19	2.132100	CPH1
HSP	HD2	0.13	1.297800	HR1
HSP	CG	0.19	2.132100	CPH1
HSP	NE2	-0.51	2.178450	NR3
HSP	HE2	0.44	0.671612	H
HSP	ND1	-0.51	2.178450	NR3
HSP	HD1	0.44	0.671612	H
HSP	CE1	0.32	2.132100	CPH2
HSP	HE1	0.18	1.112400	HR2
HSP	C	0.51	2.317500	C
HSP	O	-0.51	2.039400	O
ILE	N	-0.47	2.178450	NH1
ILE	HN	0.31	0.671612	H
ILE	CA	0.07	2.317500	CT1
ILE	HA	0.09	1.687140	HB1
ILE	CB	-0.09	2.317500	CT1
ILE	HB	0.09	1.705680	HA1
ILE	CG2	-0.27	2.354580	CT3
ILE	HG21	0.09	1.705680	HA3
ILE	HG22	0.09	1.705680	HA3
ILE	HG23	0.09	1.705680	HA3
ILE	CG1	-0.18	2.326770	CT2
ILE	HG11	0.09	1.705680	HA2
ILE	HG12	0.09	1.705680	HA2
ILE	CD	-0.27	2.354580	CT3
ILE	HD1	0.09	1.705680	HA3
ILE	HD2	0.09	1.705680	HA3
ILE	HD3	0.09	1.705680	HA3
ILE	C	0.51	2.317500	C
ILE	O	-0.51	2.039400	O
LEU	N	-0.47	2.178450	NH1
LEU	HN	0.31	0.671612	H
LEU	CA	0.07	2.317500	CT1
LEU	HA	0.09	1.687140	HB1
LEU	CB	-0.18	2.326770	CT2
LEU	HB1	0.09	1.705680	HA2
LEU	HB2	0.09	1.705680	HA2
LEU	CG	-0.09	2.317500	CT1
LEU	HG	0.09	1.705680	HA1
LEU	CD1	-0.27	2.354580	CT3
LEU	HD11	0.09	1.705680	HA3
LEU	HD12	0.09	1.705680	HA3
LEU	HD13	0.09	1.705680	HA3
LEU	CD2	-0.27	2.354580	CT3
LEU	HD21	0.09	1.705680	HA3
LEU	HD22	0.09	1.705680	HA3
LEU	HD23	0.09	1.705680	HA3
LEU	C	0.51	2.317500	C
LEU	O	-0.51	2.039400	O
LYS	N	-0.47	2.178450	NH1
LYS	HN	0.31	0.671612	H
LYS	CA	0.07	2.317500	CT1
LYS	HA	0.09	1.687140	HB1
LYS	CB	-0.18	2.326770	CT2
LYS	HB1	0.09	1.705680	HA2
LYS	HB2	0.09	1.705680	HA2
LYS	CG	-0.18	2.326770	CT2
LYS	HG1	0.09	1.705680	HA2
LYS	HG2	0.09	1.705680	HA2
LYS	CD	-0.18	2.326770	CT2
LYS	HD1	0.09	1.705680	HA2
LYS	HD2	0.09	1.705680	HA2
LYS	CE	0.21	2.326770	CT2
LYS	HE1	0.05	1.705680	HA2
LYS	HE2	0.05	1.705680	HA2
LYS	NZ	-0.30	2.178450	NH3
LYS	HZ1	0.33	0.671612	HC
LYS	HZ2	0.33	0.671612	HC
LYS	HZ3	0.33	0.671612	HC
LYS	C	0.51	2.317500	C
LYS	O	-0.51	2.039400	O
MET	N	-0.47	2.178450	NH1
MET	HN	0.31	0.671612	H
MET	CA	0.07	2.317500	CT1
MET	HA	0.09	1.687140	HB1
MET	CB	-0.18	2.326770	CT2
MET	HB1	0.09	1.705680	HA2
MET	HB2	0.09	1.705680	HA2
MET	CG	-0.14	2.326770	CT2
MET	HG1	0.09	1.705680	HA2
MET	HG2	0.09	1.705680	HA2
MET	SD	-0.09	2.317500	S
MET	CE	-0.22	2.354580	CT3
MET	HE1	0.09	1.705680	HA3
MET	HE2	0.09	1.705680	HA3
MET	HE3	0.09	1.705680	HA3
MET	C	0.51	2.317500	C
MET	O	-0.51	2.039400	O
PHE	N	-0.47	2.178450	NH1
PHE	HN	0.31	0.671612	H
PHE	CA	0.07	2.317500	CT1
PHE	HA	0.09	1.687140	HB1
PHE	CB	-0.18	2.326770	CT2
PHE	HB1	0.09	1.705680	HA2
PHE	HB2	0.09	1.705680	HA2
PHE	CG	0.00	2.310455	CA
PHE	CD1	-0.12	2.310455	CA
PHE	HD1	0.12	1.722551	HP
PHE	CE1	-0.12	2.310455	CA
PHE	HE1	0.12	1.722551	HP
PHE	CZ	-0.12	2.310455	CA
PHE	HZ	0.12	1.722551	HP
PHE	CD2	-0.12	2.310455	CA
PHE	HD2	0.12	1.722551	HP
PHE	CE2	-0.12	2.310455	CA
PHE	HE2	0.12	1.722551	HP
PHE	C	0.51	2.317500	C
PHE	O	-0.51	2.039400	O
PRO	N	-0.29	2.178450	N
PRO	CD	0.00	2.479725	CP3
PRO	HD1	0.09	1.705680	HA2
PRO	HD2	0.09	1.705680	HA2
PRO	CA	0.02	2.572425	CP1
PRO	HA	0.09	1.687140	HB1
PRO	CB	-0.18	2.479725	CP2
PRO	HB1	0.09	1.705680	HA2
PRO	HB2	0.09	1.705680	HA2
PRO	CG	-0.18	2.479725	CP2
PRO	HG1	0.09	1.705680	HA2
PRO	HG2	0.09	1.705680	HA2
PRO	C	0.51	2.317500	C
PRO	O	-0.51	2.039400	O
SER	N	-0.47	2.178450	NH1
SER	HN	0.31	0.671612	H
SER	CA	0.07	2.317500	CT1
SER	HA	0.09	1.687140	HB1
SER	CB	0.05	2.326770	CT2
SER	HB1	0.09	1.705680	HA2
SER	HB2	0.09	1.705680	HA2
SER	OG	-0.66	2.104290	OH1
SER	HG1	0.43	0.671612	H
SER	C	0.51	2.317500	C
SER	O	-0.51	2.039400	O
THR	N	-0.47	2.178450	NH1
THR	HN	0.31	0.671612	H
THR	CA	0.07	2.317500	CT1
THR	HA	0.09	1.687140	HB1
THR	CB	0.14	2.317500	CT1
THR	HB	0.09	1.705680	HA1
THR	OG1	-0.66	2.104290	OH1
THR	HG1	0.43	0.671612	H
THR	CG2	-0.27	2.354580	CT3
THR	HG21	0.09	1.705680	HA3
THR	HG22	0.09	1.705680	HA3
THR	HG23	0.09	1.705680	HA3
THR	C	0.51	2.317500	C
THR	O	-0.51	2.039400	O
TRP	N	-0.47	2.178450	NH1
TRP	HN	0.31	0.671612	H
TRP	CA	0.07	2.317500	CT1
TRP	HA	0.09	1.687140	HB1
TRP	CB	-0.18	2.326770	CT2
TRP	HB1	0.09	1.705680	HA2
TRP	HB2	0.09	1.705680	HA2
TRP	CG	-0.03	2.308230	CY
TRP	CD1	-0.15	2.310455	CA
TRP	HD1	0.22	1.722551	HP
TRP	NE1	-0.51	2.178450	NY
TRP	HE1	0.37	0.671612	H
TRP	CE2	0.24	2.187720	CPT
TRP	CD2	0.11	2.187720	CPT
TRP	CE3	-0.25	2.308230	CAI
TRP	HE3	0.17	1.722551	HP
TRP	CZ3	-0.20	2.310455	CA
TRP	HZ3	0.14	1.722551	HP
TRP	CZ2	-0.27	2.308230	CAI
TRP	HZ2	0.16	1.722551	HP
TRP	CH2	-0.14	2.310455	CA
TRP	HH2	0.14	1.722551	HP
TRP	C	0.51	2.317500	C
TRP	O	-0.51	2.039400	O
TYR	N	-0.47	2.178450	NH1
TYR	HN	0.31	0.671612	H
TYR	CA	0.07	2.317500	CT1
TYR	HA	0.09	1.687140	HB1
TYR	CB	-0.18	2.326770	CT2
TYR	HB1	0.09	1.705680	HA2
TYR	HB2	0.09	1.705680	HA2
TYR	CG	0.00	2.310455	CA
TYR	CD1	-0.12	2.310455	CA
TYR	HD1	0.12	1.722551	HP
TYR	CE1	-0.12	2.310455	CA
TYR	HE1	0.12	1.722551	HP
TYR	CZ	0.11	2.310455	CA
